"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
-4,-4,1,1,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,2,2,5,3,2,7000,12,16800,12,43000,12,35400,12,-2,12,-4,43000
2002,2012,3,3,5,3,2,-2,12,-5,-5,93000,12,90000,12,79000,12,-4,130000
-4,2016,4,3,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,144600,14,-4,118300
-4,-4,5,5,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,6,5,1,3,1,141050,16,116495,16,157000,16,182000,16,169010,16,-4,132450
2006,-4,7,7,1,3,1,32600,12,29352,12,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,8,8,6,3,2,-2,14,45319,14,41200,14,47000,14,47000,14,-4,51313
2004,2014,9,9,1,3,1,80000,14,102000,14,150000,14,160000,14,200000,14,-5,-5
-4,-4,10,10,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,11,11,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,12,12,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,13,13,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,14,13,5,3,2,109750,19,106000,19,103000,19,77440,19,72500,19,-5,-5
2004,2014,15,15,1,3,1,241000,16,440692,16,497763,16,595986,16,922631,16,-4,766958
2000,2008,16,16,5,3,2,66000,13,119000,13,90000,13,94000,13,107300,13,-4,90000
1998,2008,17,17,1,3,1,94600,13,89000,13,60000,13,68000,13,73000,13,-4,69000
1998,2008,18,17,1,3,1,101000,13,60000,13,150000,13,151000,13,120050,13,-4,150000
1998,2010,19,19,5,3,2,-5,-5,-1,12,-5,-5,-5,-5,-5,-5,-5,-5
2000,2012,20,20,5,3,2,144600,17,-5,-5,190500,17,195000,17,213000,17,-5,-5
2002,2012,21,20,5,3,2,-2,16,440692,16,497763,16,595986,16,230000,16,-4,244200
2004,2014,22,22,5,3,2,96000,16,133250,16,40250,16,35700,16,45200,16,-5,-5
-4,-4,23,23,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,24,23,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,25,25,5,3,2,213000,14,440692,14,185000,14,146000,14,172000,14,-4,198000
-4,2012,26,26,1,3,1,-5,-5,95000,16,105000,16,-5,-5,-5,-5,-5,-5
2000,2010,27,27,5,3,2,265874,16,87000,16,497763,16,143502,16,922631,16,-4,766958
-4,-4,28,27,5,3,2,-5,-5,17721,13,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,29,29,5,3,2,144500,12,113000,12,53410,12,-2,12,36604,12,-4,-3
2000,2008,30,29,5,3,2,48000,12,-2,12,34084,12,21882,12,0,12,-4,24000
2004,2014,31,31,4,1,1,76000,12,37641,12,74000,12,51000,12,68000,12,-4,40000
2004,2010,32,32,8,1,2,-5,-5,440692,18,-5,-5,-5,-5,-5,-5,-5,-5
2006,2012,33,32,4,1,1,6684,12,84816,12,0,12,9972,12,4176,12,-4,10160
2000,2008,34,34,1,3,1,45600,13,30000,13,53000,13,-2,13,24000,13,-4,25400
-4,-4,35,34,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,36,36,1,3,1,30000,12,-2,12,66510,12,28000,12,65000,12,-4,87000
2000,2008,37,37,5,3,2,128400,12,168000,12,124100,12,165300,12,180000,12,-4,139762
2004,2012,38,37,5,3,2,127000,12,112500,12,128000,12,126000,12,165040,12,-4,160000
2000,2010,39,39,1,3,1,-1,12,75000,12,94000,12,100000,12,88000,12,-4,69000
2000,2010,40,40,2,3,1,153000,14,147693,14,158110,14,193220,14,194600,14,-4,181000
2002,2012,41,40,2,3,1,103000,15,134000,15,136500,15,149000,15,177000,15,-4,187000
2004,2014,42,42,1,3,1,101000,12,103000,12,159000,12,120000,12,121250,12,-5,-5
2002,2012,43,43,6,3,2,5676,12,4800,12,8016,12,9252,12,26120,12,-4,0
2002,2012,44,44,5,3,2,-2,12,179120,12,-2,12,245000,12,223680,12,-4,317080
-4,-4,45,45,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,46,46,5,3,2,-2,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,47,47,1,3,1,68000,12,68000,12,165000,12,185000,12,200660,12,-4,218000
-4,-4,48,48,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,49,49,5,3,2,107100,14,115000,14,133115,14,84500,14,100506,14,-4,157888
2000,2008,50,50,5,3,2,100440,12,104500,12,119800,12,135000,12,140000,12,-4,141150
-4,-4,51,50,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2012,52,52,1,3,1,-5,-5,-5,-5,497763,14,-2,14,255000,14,-5,-5
2004,2014,53,53,4,1,1,9749,12,13269,12,9960,12,9528,12,8730,12,-4,9948
1998,2010,54,54,1,3,1,-5,-5,40000,10,-5,-5,44000,10,42000,10,-4,52000
-4,-4,55,55,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,56,55,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,57,57,5,3,2,102000,12,61712,12,46833,12,39544,12,52000,12,-4,36920
1998,2008,58,58,5,3,2,-2,17,154000,17,56312,17,163160,17,177532,17,-4,195300
2000,2010,59,58,1,3,1,-2,12,-2,12,-2,12,-2,12,-2,12,-4,-3
-4,2012,60,58,1,3,1,-5,-5,-5,-5,191000,12,-5,-5,-5,-5,-5,-5
2004,2012,61,61,5,3,2,165000,14,122750,14,121515,14,140000,14,130000,14,-4,160000
2006,2014,62,61,5,3,2,37400,13,46034,13,59000,14,58000,16,65000,16,-4,65000
2000,2010,63,63,1,3,1,235000,16,440692,16,497763,16,595986,16,922631,16,-4,333000
-4,-4,64,63,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,65,63,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,66,66,1,3,1,-1,14,-1,14,0,14,0,14,-1,14,-4,-3
2002,2008,67,67,1,3,1,454737,18,-2,18,-2,18,595986,18,922631,18,-4,-3
2002,2012,68,67,5,3,2,-2,16,440692,16,497763,16,270000,16,-2,16,-4,156000
2006,2014,69,69,1,3,1,165250,18,186150,18,205200,18,185075,18,163150,18,-4,185200
2002,2012,70,70,1,3,1,-1,18,-2,18,40000,18,34000,18,42580,18,-4,-3
-4,2014,71,70,1,3,1,-5,-5,-1,19,-5,-5,-1,19,-1,19,-5,-5
2000,2010,72,72,5,3,2,41000,16,55720,16,42025,16,46050,16,44500,16,-4,47725
2004,2014,73,73,1,3,1,150000,18,210500,18,-5,-5,595986,18,922631,18,-4,766958
-4,-4,74,74,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,75,74,5,3,2,130000,16,195000,16,185000,16,192000,16,220000,16,-4,295500
2004,2014,76,74,1,3,1,130000,14,143000,14,160000,14,110000,14,200000,14,-4,157000
2006,2014,77,77,5,3,2,170000,16,110000,16,155000,16,159000,16,160000,16,-4,172000
1998,-4,78,78,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,79,78,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,80,80,1,3,1,16000,17,32000,17,32500,19,23783,19,24000,19,-4,29000
2004,2014,81,80,1,3,1,-5,-5,-5,-5,-5,-5,54025,19,123545,19,-4,162000
2000,2008,82,82,3,2,1,0,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,83,83,3,2,1,-1,10,-2,10,-2,10,-2,10,8796,10,-4,35124
2004,2014,84,83,3,2,1,0,12,2400,12,18000,12,2328,12,52328,12,-4,17640
2000,2010,85,85,3,2,1,5280,11,5600,11,4800,11,600,11,8484,11,-4,15240
2000,2010,86,85,7,2,2,13000,9,-2,9,22000,9,24000,9,24000,9,-4,-3
2004,2014,87,85,3,2,1,28000,12,26009,12,24000,12,0,12,15000,12,-4,18480
1998,2008,88,88,3,2,1,70000,16,74095,16,62296,16,70000,16,35000,16,-4,36000
2000,2016,89,89,7,2,2,116000,16,-5,-5,-5,-5,-5,-5,147000,16,-4,157000
2000,2008,90,90,1,3,1,168000,16,178000,16,173000,16,184400,16,227000,16,-4,220000
2004,2014,91,90,5,3,2,75000,16,65000,16,67000,16,90000,16,95000,16,-4,83000
2004,2012,92,92,5,3,2,30050,12,30500,12,36384,12,41000,12,42500,12,-4,57000
2006,2014,93,93,1,3,1,96000,12,85000,12,87000,12,53515,12,62000,12,-4,135000
2000,2008,94,94,1,3,1,-1,10,-2,10,45320,10,-1,10,-2,10,-4,-3
2000,2010,95,94,5,3,2,44000,12,46000,12,50000,12,52000,12,32000,12,-4,40000
2002,2012,96,96,6,3,2,46500,12,-2,12,52000,12,-2,12,102200,12,-4,112000
1998,2008,97,97,5,3,2,111000,14,111600,14,65008,14,97000,14,105000,14,-4,222605
1998,2008,98,98,6,3,2,7560,13,18240,13,16440,13,14160,13,16860,13,-4,-3
1998,2008,99,99,5,3,2,11000,14,36548,14,41000,14,38000,14,44500,14,-4,36000
2004,2014,100,100,5,3,2,67772,12,89936,12,81000,12,96000,12,104000,12,-4,106010
2004,2010,101,101,1,3,1,-5,-5,121000,20,-5,-5,-5,-5,-5,-5,-5,-5
2006,2014,102,101,5,3,2,-1,16,-1,16,-1,16,-1,16,-1,16,-4,-3
2000,2008,103,103,1,3,1,88000,18,71000,18,125800,18,90800,18,123747,18,-4,94857
2000,-4,104,104,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,105,105,6,3,2,46600,12,57500,12,70000,12,-5,-5,-5,-5,-5,-5
2002,2012,106,106,1,3,1,-2,16,112000,16,136000,16,130000,16,140600,16,-4,141600
2002,2012,107,107,1,3,1,73200,16,82200,16,89200,16,103000,16,126000,16,-4,130000
2000,2008,108,107,1,3,1,130000,20,115000,20,120100,20,133500,20,195000,20,-4,135000
-4,-4,109,109,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,110,110,1,3,1,103000,13,104992,13,130000,13,131000,13,146000,13,-4,143000
2000,2010,111,110,5,3,2,115000,12,58000,12,140000,12,-2,12,220000,12,-4,57000
2004,2014,112,110,5,3,2,-2,12,29200,12,75200,12,65200,12,-2,12,-4,72408
-4,-4,113,113,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,114,113,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2014,115,115,5,3,2,-5,-5,-5,-5,-5,-5,20000,16,93000,16,-4,-3
-4,-4,116,115,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,117,115,1,3,1,108500,15,-2,15,-2,15,120000,15,139200,15,14,157800
-4,-4,118,118,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,119,118,1,3,1,0,16,20000,16,22000,16,15000,16,20000,16,-4,20000
2002,2012,120,120,1,3,1,200400,16,110000,16,153000,16,120000,16,100000,16,-4,120000
2006,2014,121,120,5,3,2,50035,17,-2,17,-2,17,92200,17,80000,17,-4,-3
2002,2012,122,122,1,3,1,126500,12,105000,12,215000,12,225000,12,175000,12,-4,400000
-4,-4,123,123,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,124,124,5,3,2,32000,15,35100,15,12250,15,0,15,0,15,-4,256800
1998,-4,125,124,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,126,124,1,3,1,126530,14,-2,14,-2,14,-2,14,119000,14,-4,-3
-4,-4,127,127,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,128,128,5,3,2,128000,12,119364,12,-2,12,193000,12,198000,12,-4,194800
2002,2010,129,129,1,3,1,95100,16,115100,16,94050,16,120100,16,135050,16,-4,105100
-4,-4,130,130,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,131,131,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,132,132,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,133,133,5,3,2,82000,12,-5,-5,45000,12,57000,12,60000,12,-4,-3
-4,-4,134,134,1,3,1,-5,-5,-2,12,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,135,134,1,3,1,145010,16,175300,16,160300,16,165000,16,201000,16,-4,93400
1998,2008,136,136,5,3,2,-2,12,-2,12,-2,12,9504,12,-2,12,-4,0
2002,2012,137,137,5,3,2,248000,16,440692,16,264030,16,260000,16,289000,16,-4,301000
2004,2012,138,137,5,3,2,152800,16,124500,16,186000,16,265000,16,280000,16,-4,287000
2004,-4,139,137,1,3,1,-2,15,170000,15,81000,15,-5,-5,-5,-5,-5,-5
2000,2008,140,140,5,3,2,-2,17,175900,17,225000,17,151300,17,220400,17,-4,-3
2004,2012,141,141,5,3,2,-5,-5,57730,18,125200,18,132000,18,144050,18,-4,101024
2000,2010,142,142,1,3,1,-5,-5,115905,12,-2,12,-5,-5,-5,-5,-5,-5
2004,-4,143,142,5,3,2,131000,15,113000,15,-5,-5,-5,-5,-5,-5,-5,-5
2006,2014,144,142,5,3,2,-5,-5,440692,12,44025,12,37400,12,38640,12,-4,-3
2004,2012,145,145,1,3,1,72000,12,31000,12,-2,12,-5,-5,-5,-5,-4,49000
2004,2014,146,145,1,3,1,63100,12,90000,12,94000,12,114000,12,110050,12,-4,115000
2002,2012,147,147,5,3,2,77200,14,82000,14,100600,14,212000,14,190600,14,-4,-3
2004,2014,148,148,1,3,1,35350,12,-2,12,-2,12,-2,12,48000,12,-4,100050
2004,2014,149,148,5,3,2,181800,12,169200,12,184100,12,190602,12,223500,12,-4,-3
2000,2010,150,150,1,3,1,32200,12,15300,12,39016,12,-5,-5,-5,-5,-5,-5
-4,-4,151,151,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-3
2002,2012,152,151,5,3,2,454737,12,167610,12,177936,12,42415,12,89594,12,-4,140000
2004,2014,153,153,5,3,2,26400,12,14076,12,16560,12,74352,12,75036,12,-4,-3
-4,-4,154,153,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2016,155,155,1,3,1,-5,-5,68000,9,11100,9,-5,-5,24000,9,-5,-5
2000,2010,156,156,1,3,1,-1,11,10000,11,0,11,-2,11,-5,-5,-5,-5
2002,2012,157,157,5,3,2,-2,19,220000,19,240000,19,250000,19,305000,20,-5,-5
2000,2008,158,157,5,3,2,41000,17,-5,-5,110000,17,118000,17,130000,17,-4,135000
2000,-4,159,157,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,160,160,5,3,2,116460,14,116800,14,125050,14,135200,14,285300,14,-4,130200
2002,2012,161,160,5,3,2,105000,12,139500,12,152000,12,76500,12,65400,12,-4,131047
2002,-4,162,162,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,163,162,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2012,164,164,5,3,2,-5,-5,-5,-5,47000,12,49000,12,-5,-5,-5,-5
2002,2010,165,165,5,3,2,109000,12,122000,12,168000,12,145000,12,136000,12,-4,72800
2002,2012,166,165,1,3,1,191200,13,-5,-5,163500,13,-5,-5,-5,-5,-5,-5
2000,-4,167,167,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2012,168,168,3,2,1,-5,-5,968,16,2160,16,14000,16,28000,16,-5,-5
-4,2014,169,168,7,2,2,-5,-5,8580,14,0,14,0,14,-5,-5,-5,-5
1998,-4,170,170,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,171,171,1,3,1,171000,16,183080,16,-2,16,196000,16,232700,16,-4,277000
1998,2008,172,172,6,3,2,10404,9,11220,9,11220,9,12000,9,12000,9,-4,0
-4,-4,173,173,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,174,174,8,1,2,-2,13,90000,13,-2,13,76700,13,59400,13,-4,-3
-4,2008,175,175,5,3,2,-2,14,20000,14,24400,14,-2,14,-1,14,-4,-3
-4,-4,176,175,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2010,177,175,1,3,1,-5,-5,85440,12,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,178,178,1,3,1,112000,16,440692,16,112000,16,-5,-5,-5,-5,-5,-5
2000,2008,179,179,5,3,2,109000,12,110000,12,85200,12,43000,12,59136,12,-4,121700
1998,2014,180,180,5,3,2,-5,-5,-5,-5,-5,-5,243400,16,321000,16,-4,152640
2000,2008,181,181,1,3,1,66000,12,77000,12,98000,12,81000,12,60000,12,-4,56000
-4,2014,182,181,1,3,1,-5,-5,2696,13,9144,13,9060,13,8796,13,-4,10752
2000,2008,183,183,5,3,2,30500,12,34000,12,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,184,183,5,3,2,96700,16,135666,16,61000,16,-2,16,28600,16,-4,69806
2006,2014,185,183,1,3,1,59000,12,-2,12,-2,12,73000,12,-2,12,-4,-3
2000,2010,186,186,5,3,2,56000,18,92000,18,110000,18,110000,18,922631,18,-4,185000
-4,-4,187,186,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,188,188,5,3,2,-2,10,-2,10,12000,10,19715,10,18000,10,-4,180
2000,2008,189,189,1,3,1,130000,16,180000,16,150000,16,595986,16,130300,16,-4,766958
2002,2012,190,190,5,3,2,101500,18,-2,18,157000,18,165000,18,188000,18,-4,226600
2004,2014,191,190,1,3,1,199000,19,183000,19,212000,19,595986,19,922631,19,-4,766958
2004,2014,192,192,5,3,2,454737,16,-2,16,497763,16,-2,16,922631,16,-4,-3
1998,2008,193,193,1,3,1,116500,16,125345,16,130690,16,136071,16,152991,16,-4,159618
2004,-4,194,193,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,195,195,1,3,1,201700,18,68280,18,175100,18,1000,18,922631,18,-4,766958
2004,2018,196,196,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,243440
2004,2012,197,197,5,3,2,33000,12,-5,-5,29379,12,24366,12,16500,12,-4,17000
2004,2016,198,198,1,3,1,183000,18,158000,18,243500,18,-5,-5,-1,18,-4,-3
2000,2010,199,199,1,3,1,55520,12,55204,12,15174,12,57024,12,-5,-5,-5,-5
2000,2008,200,200,5,3,2,92790,12,99600,12,106114,12,194308,12,106659,12,-4,90144
1998,2008,201,201,1,3,1,201600,16,245000,16,241000,16,238250,16,337000,16,-4,355000
2002,2010,202,202,1,3,1,57000,14,56520,14,19500,14,32000,14,0,14,-4,12000
-4,-4,203,203,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2010,204,204,8,1,2,-5,-5,40000,12,4400,12,392,12,6974,12,11,-3
1998,2008,205,205,8,1,2,110000,12,-1,12,-1,12,-2,12,-1,12,-4,-3
-4,2016,206,206,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-2,10,-5,-5
2004,-4,207,206,1,3,1,30000,12,36178,12,-5,-5,-5,-5,-5,-5,-5,-5
1998,2016,208,208,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,25224,12,-4,26620
2000,-4,209,209,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,210,210,1,3,1,130400,16,149250,16,157250,16,164300,16,171000,16,-4,192000
2004,2014,211,210,5,3,2,101000,16,102000,16,47900,16,65150,16,93000,16,-4,110000
2002,2012,212,212,1,3,1,173968,12,159600,12,265000,12,125000,12,125000,12,-4,310000
2004,-4,213,212,1,3,1,-2,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,-4,214,212,1,3,1,155000,15,178264,15,146600,15,149500,15,164200,15,16,174800
-4,-4,215,215,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2010,216,216,5,3,2,5900,16,2000,16,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,217,216,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,218,218,1,3,1,454737,16,440692,16,497763,16,-2,16,330000,16,-4,345000
2000,2010,219,219,5,3,2,16747,20,213290,20,197500,20,196000,20,92000,20,-4,142000
2002,2012,220,219,5,3,2,105000,20,110200,20,122200,20,130400,20,145000,20,-4,145000
2006,2014,221,221,7,2,2,28000,10,10100,12,18920,12,11832,12,30000,12,-4,-3
2002,2012,222,221,3,2,1,7200,9,6000,9,8148,9,8460,9,-2,9,-4,8180
2004,2012,223,221,3,2,1,74000,12,96680,12,96700,12,75000,12,190000,12,-4,61000
2000,2010,224,221,7,2,2,11057,12,11000,12,14040,12,14000,12,15000,12,-4,15100
-4,-4,225,225,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,226,225,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,227,227,7,2,2,10300,12,30405,12,32772,12,34671,12,35843,12,-4,41160
1998,2008,228,228,8,1,2,5968,9,10400,9,5720,9,5640,9,5020,9,-4,7871
2004,2014,229,229,5,3,2,21448,12,41120,12,45000,12,1200,12,7296,12,-4,8064
2006,2014,230,230,1,3,1,71500,15,78200,15,81200,15,81200,15,81200,15,-4,80500
1998,2008,231,231,5,3,2,115000,12,128484,12,76162,12,78000,12,75000,12,-4,91000
2002,2012,232,231,1,3,1,45050,14,50720,14,49254,14,-5,-5,47010,14,-4,36337
2004,2014,233,231,1,3,1,37000,12,67000,12,78000,12,50000,12,51800,12,-4,60000
2002,2012,234,234,2,3,1,140000,12,-2,12,95500,12,92000,12,260000,12,-4,252000
2004,2014,235,235,1,3,1,135000,15,107000,15,93000,15,74000,15,140000,15,-4,89500
2002,2012,236,236,5,3,2,101840,13,116000,13,120830,13,151000,13,151000,13,-4,166000
1998,2008,237,237,5,3,2,10440,12,11160,12,13392,12,13440,12,14055,12,-4,-3
-4,-4,238,238,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,239,238,6,3,2,23900,10,32400,10,29188,10,27600,10,28488,10,-5,-5
2004,2012,240,238,6,3,2,56200,12,440692,12,81600,12,89700,12,97500,12,-4,91271
-4,-4,241,238,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,242,242,5,3,2,104000,12,155000,12,118720,12,153000,12,212000,12,-4,170700
1998,2008,243,242,1,3,1,102000,12,108000,12,129050,12,168000,12,285000,12,-4,250000
1998,2008,244,244,5,3,2,-2,12,62700,12,85500,12,55020,12,68400,12,-4,29800
2004,2012,245,245,5,3,2,68400,14,61050,14,58500,14,57500,14,54000,14,-4,118800
-4,-4,246,245,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,247,247,2,3,1,156000,20,179000,20,182000,20,180000,20,85000,20,-4,90000
2002,2012,248,247,2,3,1,16000,14,19300,14,2400,14,-2,14,-2,14,-4,13920
2004,2014,249,247,6,3,2,69500,17,70800,17,94300,17,60000,17,73000,17,-4,80800
1998,2008,250,250,5,3,2,50140,12,120000,12,70000,12,57500,12,89000,12,-4,62000
2004,2012,251,251,2,3,1,71025,12,74036,12,57000,12,64852,12,102135,12,13,71608
2004,2014,252,251,6,3,2,54250,12,59000,12,63250,12,-2,12,-3,12,-4,-3
2006,2014,253,253,1,3,1,37000,11,39000,11,38000,11,49000,11,48000,11,-4,48000
2002,2012,254,254,5,3,2,40500,12,40000,12,43000,12,43100,12,37040,12,-4,45000
2002,2012,255,254,5,3,2,113000,12,106387,12,96677,12,114259,12,100000,12,-4,87000
2002,2012,256,256,5,3,2,59796,13,-2,13,10500,13,14762,13,-2,13,-4,4000
2006,2014,257,256,1,3,1,10000,12,8900,12,7000,12,14924,12,17897,12,-4,17684
1998,2008,258,258,5,3,2,59792,14,49510,14,9952,14,20520,14,20006,14,-4,18960
2000,2010,259,258,1,3,1,22988,12,28000,12,81000,12,93000,12,53094,12,-4,35000
2002,2012,260,260,1,3,1,96000,14,98250,15,102080,16,120010,16,136000,16,-4,112500
2004,2014,261,260,1,3,1,-1,16,-1,16,208000,16,105000,16,-1,16,-4,-3
-4,-4,262,262,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,263,262,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,264,264,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,265,265,5,3,2,-5,-5,155000,16,101234,16,78320,16,-5,-5,-4,90000
-4,-4,266,266,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2010,267,267,1,3,1,-5,-5,-2,12,11040,12,20376,12,-2,12,-4,10980
2002,2008,268,268,1,3,1,11052,14,22092,14,27564,14,26460,14,0,14,-4,-3
2000,2010,269,269,2,3,1,205000,16,440692,16,241000,16,280000,16,275000,16,-4,300000
-4,-4,270,270,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,271,270,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,272,272,5,3,2,90010,16,220000,16,160000,16,143500,16,310000,16,-4,140000
2000,2010,273,272,1,3,1,-2,15,78248,15,13200,15,68000,15,74000,15,-4,115000
2002,2010,274,274,2,3,1,122300,13,94000,13,-2,13,27710,13,32134,13,-4,20880
2004,2014,275,274,6,3,2,-1,14,-1,14,63500,14,-1,14,24000,14,-4,-3
2002,-4,276,276,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,277,277,1,3,1,27000,12,28000,12,28000,12,30100,12,20000,12,-4,28020
2000,2010,278,278,5,3,2,-5,-5,-2,13,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,279,279,1,3,1,65200,12,74000,12,-5,-5,101000,12,-5,-5,-5,-5
-4,-4,280,280,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,281,281,1,3,1,153800,18,175500,18,190500,18,208000,18,259940,18,-4,204820
2004,2014,282,281,5,3,2,-2,16,44000,16,86000,16,56020,16,45000,16,-4,50000
2000,2008,283,283,4,1,1,82000,12,138200,12,85500,12,82000,12,88000,12,-4,117500
2000,2010,284,283,4,1,1,105200,12,94000,12,100000,12,148500,12,165000,12,-4,133000
2002,2012,285,283,8,1,2,120000,12,108000,12,123600,12,196720,12,120000,12,-4,171000
2004,2014,286,286,8,1,2,111400,16,98300,16,-2,16,112000,16,70000,16,-4,76866
2000,2008,287,287,5,3,2,61000,12,47480,12,-5,-5,-5,-5,-5,-5,-5,-5
