"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
2000,2010,9048,9048,13,2,2,30000,12,40000,12,84790,12,80000,12,70000,12,-4,90000
2002,2012,9049,9049,10,2,1,-5,-5,-5,-5,0,12,-5,-5,-5,-5,-5,-5
2004,2012,9050,9049,13,2,2,-2,12,-2,12,15588,12,13728,12,16272,12,-4,8160
2004,2014,9051,9051,10,2,1,3000,12,2388,12,-5,-5,4268,12,-2,12,-4,9744
2004,2014,9052,9052,10,2,1,49000,12,44687,12,7424,12,10008,12,10165,12,-4,10224
2000,2010,9053,9052,13,2,2,0,12,24820,12,-2,12,17204,12,4248,12,-4,4280
2002,-4,9054,9054,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,9055,9055,10,2,1,8160,12,9876,12,8806,12,9636,12,9099,12,-4,9276
2004,-4,9056,9055,10,2,1,87000,15,68000,15,-5,-5,-5,-5,-5,-5,-5,-5
2006,2014,9057,9055,13,2,2,34000,12,52000,12,40000,12,30000,12,50000,12,-4,38000
2004,2012,9058,9058,10,2,1,-2,12,0,12,2400,12,45189,12,-2,12,-4,-3
2006,2014,9059,9058,10,2,1,42000,14,-2,14,34000,14,0,14,50000,14,-4,42000
2000,-4,9060,9060,13,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,2014,9061,9061,10,2,1,16640,12,8000,12,12400,12,20000,12,32000,12,-4,12000
2006,2012,9062,9062,10,2,1,-5,-5,8712,16,14000,16,1240,16,-5,-5,-4,24000
2000,2008,9063,9063,13,2,2,1668,8,8148,8,8892,8,8943,8,28088,8,-4,24896
2004,2012,9064,9063,13,2,2,-2,12,13150,12,-2,12,38368,12,-2,12,-4,38000
2000,2008,9065,9065,13,2,2,32000,14,31000,14,-1,14,-2,14,114600,14,-4,-3
2002,2012,9066,9066,10,2,1,108000,12,92000,12,115000,12,100000,12,100000,12,-4,112000
2004,2012,9067,9067,13,2,2,-1,15,58295,15,60000,15,21000,15,27500,15,14,148400
2002,2012,9068,9067,10,2,1,-2,12,10371,12,10000,12,10000,12,0,12,-4,12000
2002,2010,9069,9067,10,2,1,113000,13,124030,13,110000,13,85000,13,118000,13,-4,90000
2004,2014,9070,9070,13,2,2,24000,12,22000,12,22000,12,23000,12,22000,12,-4,27000
-4,-4,9071,9070,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,2014,9072,9072,10,2,1,30660,12,28360,12,23940,12,-2,12,15516,12,-4,14700
1998,2008,9073,9073,10,2,1,0,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,9074,9074,13,2,2,1968,12,600,12,1543,12,732,12,-2,12,-4,8844
2000,2010,9075,9075,10,2,1,56000,14,104000,14,120000,14,116000,14,117000,14,-4,102000
2006,2014,9076,9076,10,2,1,-2,9,8800,9,3000,9,27000,9,1200,9,-4,55000
2000,2010,9077,9076,10,2,1,-2,12,0,12,-2,12,-2,12,15000,12,-4,-3
-4,-4,9078,9076,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,9079,9079,10,2,1,18000,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,9080,9080,13,2,2,23600,9,24000,9,-2,9,-2,9,0,9,-4,-3
2002,2012,9081,9081,13,2,2,36236,12,17028,12,-2,12,1980,12,2532,12,-4,28339
-4,-4,9082,9082,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9083,9083,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9084,9083,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9085,9085,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9086,9085,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9087,9087,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9088,9088,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9089,9089,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2014,9090,9089,10,2,1,-1,12,-2,12,-5,-5,-1,12,-5,-5,-5,-5
2006,2010,9091,9091,10,2,1,115000,17,80000,17,80000,17,81000,17,115000,17,-4,125000
2002,2012,9092,9091,13,2,2,76000,14,85000,14,83000,14,88000,14,95000,14,-5,-5
2004,2014,9093,9093,10,2,1,-2,12,-2,12,10500,12,2000,12,4777,12,-4,-3
1998,2008,9094,9094,10,2,1,36440,11,13464,11,13920,11,-5,-5,-5,-5,-5,-5
2000,2010,9095,9094,13,2,2,36000,14,57000,14,70000,14,48000,14,45000,14,-4,44000
2002,2012,9096,9094,10,2,1,25000,12,12900,12,34000,12,100000,12,32000,12,-4,35000
2004,2014,9097,9094,10,2,1,69000,15,90000,15,40000,15,65000,15,63000,15,-4,96000
2000,2008,9098,9098,10,2,1,7000,10,10000,10,-5,-5,-5,-5,5000,10,-4,20000
2002,2012,9099,9099,10,2,1,96020,17,102080,17,103000,17,104000,17,112000,17,-4,-3
2004,2014,9100,9099,13,2,2,25000,14,85072,14,74000,14,76000,14,-2,14,-4,55000
2000,2010,9101,9101,13,2,2,10300,9,9184,9,16400,9,0,9,-2,9,-4,-3
2004,2012,9102,9102,10,2,1,61000,13,-5,-5,80000,13,70000,13,75000,13,-4,75800
-4,-4,9103,9103,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9104,9104,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9105,9104,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
